Year,Subject,SubjectURL,Person,Picture,History,License
1983,"GNU Project : gcc, Emacs, gdb",https://en.wikipedia.org/wiki/GNU_Project,Richard Stallman,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Richard_Matthew_Stallman.jpeg/353px-Richard_Matthew_Stallman.jpeg,Launch of the free software movement and founder of Free Software Foundation ,
1984,X Window Systerm,https://en.wikipedia.org/wiki/X_Window_System,X.Org,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/X.Org_Logo.svg/375px-X.Org_Logo.svg.png,basic framework for a GUI environment,MIT License
1985,GNU Manifesto: GNU's Not Unix,https://en.wikipedia.org/wiki/GNU_Manifesto,Richard Stallman,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Heckert_GNU_white.svg/270px-Heckert_GNU_white.svg.png,"disagreement between Stallman and Symbolics, Inc. over MIT's access to updates Symbolics had made to its Lisp machine, which was based on MIT code",GNU General Public License
1987,Perl programming lang,https://en.wikipedia.org/wiki/Perl,Larry Wall,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Larry_Wall_YAPC_2007.jpg/330px-Larry_Wall_YAPC_2007.jpg,Common Gateway Interface (CGI ),
1989,Python programming lang,https://en.wikipedia.org/wiki/Python_(programming_language),Guido van Rossum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Guido_van_Rossum_OSCON_2006_cropped.png/375px-Guido_van_Rossum_OSCON_2006_cropped.png,creator of popular Python scripting lang,
1990,HyperText Transfer Protocol (HTTP),https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol,Tim Berners-Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Tim_Berners-Lee-Knight-crop.jpg/330px-Tim_Berners-Lee-Knight-crop.jpg, creator of the World-Wide-Web at CERN,
1991,Linux,https://en.wikipedia.org/wiki/Linux,Linus Torvalds,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Linus_Torvalds.jpeg/330px-Linus_Torvalds.jpeg,creator of freely modifiable Linux kernel source code,
1993,Debian GNU/Linux,https://en.wikipedia.org/wiki/Debian,Ian Murdock,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ian_Murdock_interview_at_Holiday_Club_hotel_2008_%282%29.jpg/375px-Ian_Murdock_interview_at_Holiday_Club_hotel_2008_%282%29.jpg,Debian Social Contract,
1995,Apache HTTP Server,https://en.wikipedia.org/wiki/Apache_HTTP_Server,Rob McCool,http://www-ksl.stanford.edu/people/robm/phbbt.jpg,a web server that powers the digital world,Apache License
1995,MySQL,https://en.wikipedia.org/wiki/MySQL,"David Axmark and Michael 'Monty' Widenius",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Monty-Widenius-David-Axmark-MySQL-2003-05-09.jpg/270px-Monty-Widenius-David-Axmark-MySQL-2003-05-09.jpg,popular RDMS acquired by Oracle,
1996,Java / JDK,"https://en.wikipedia.org/wiki/Java_Platform,_Standard_Edition",Jonathan Ian Schwartz,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Jonathan_Schwartz.jpg/375px-Jonathan_Schwartz.jpg,general computing platform,GNU General Public License
1997,The Cathedral and the Bazaar,https://en.wikipedia.org/wiki/The_Cathedral_and_the_Bazaar,Eric S. Raymond,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Eric_S_Raymond_portrait.jpg/330px-Eric_S_Raymond_portrait.jpg,open-source software advocate and author,
1998,Mosaic,https://en.wikipedia.org/wiki/Netscape_Communicator,Marc Lowell Andreessen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Marc_Andreessen.jpg/300px-Marc_Andreessen.jpg,Netscape opened source codes of web browser,Netscape Public License
1999,Apache Software Foundation,https://en.wikipedia.org/wiki/Apache_Software_Foundation,Brian_Behlendorf,https://www.wired.com/wp-content/uploads/blogs/wiredenterprise/wp-content/uploads//2012/02/apache_feather.png,Open source software incubator,
